name,brand,price,processor,Ram,Ram_type,ROM,ROM_type,GPU,OS,display_size,resolution_width,resolution_height,warranty,image_url,buy_url,source
"HP 255R G10 Notebook (AMD Athlon Silver 7120U /8GB/512GB/DOS) 15.6-inch(39.6cm), Anti-Glare, HD Laptop, Radeon Graphics, Silver,1.52kg",HP,39340.0,Amd Athlon Silver,8.0,DDR4,512.0,SSD,Intel Iris Xe,DOS,15.6,2560,1600,1,https://m.media-amazon.com/images/I/71rDlgf2Q6L._SL500_.jpg,,amazon
"acer Nitro V 15, AMD Ryzen 5 6600H Hexa-core Processor,NVIDIA GeForce RTX 4050-6GB GDDR6,16 GB, 512 GB, Full HD IPS, 15.6""/39.62 cm, 165 Hz, Win 11 Home,Obsidian Black, 2.1 kg, ANV15-41,Gaming Laptop",Acer,89990.0,Amd Ryzen 5 6600H,8.0,DDR4,512.0,SSD,Nvidia Geforce Rtx 4050,Windows 11,15.6,1920,1080,1,https://m.media-amazon.com/images/I/71l3rBy8IPL._SL500_.jpg,,amazon
"Lenovo Smartchoice Ideapad 5 2-in-1 13th Gen Intel Core i5-13420H (16GB RAM/512GB SSD/Windows 11/Office Home 2024/WUXGA IPS/14 (35.5cm)/Touchscreen 2-in-1/3Mon.Game Pass/Grey/1.6kg), 83KX0059IN Laptop",Lenovo,74490.0,Intel Core I5-13420H,16.0,DDR4,512.0,SSD,Intel Iris Xe,Windows 11,15.6,1920,1080,1,https://m.media-amazon.com/images/I/61XOR7fpbVL._SL500_.jpg,,amazon
"Lenovo Yoga Slim 7 Aura Edition, Intel Core Ultra 5 228V, 32GB RAM, 1TB SSD, WUXGA OLED, Copilot+ AI PC, 40 Tops, 14""/35.5cm, Windows 11, Office 2024, Grey, 1.19Kg, 83JX001LIN, AI Now, AI Laptop",Lenovo,109990.0,Intel Core Ultra 5,32.0,DDR4,512.0,SSD,Intel Iris Xe,Windows 11,15.6,1920,1080,1,https://m.media-amazon.com/images/I/81eXBrmUASL._SL500_.jpg,,amazon
"acer [SmartChoice Aspire 3 Laptop Intel Core Celeron N4500 Processor Laptop (8 GB LPDDR4X SDRAM/256 GB SSD/Win11 Home/38 WHR/HD Webcam) A325-45 with 39.63 cm (15.6"") HD Display, Pure Silver, 1.5 KG",Acer,36990.0,Intel Core i5,8.0,LPDDR4X,256.0,SSD,Intel Iris Xe,Windows 11,15.6,1366,768,1,https://m.media-amazon.com/images/I/41bdNUDc8pL._SL500_.jpg,,amazon
"HP Omen, AMD Ryzen AI 7 350, 8GB RTX 5050, 24GB DDR5(Upgradeable) 1TB SSD, 165Hz, 2k WUXGA, 3ms, 400 nits, 16'(40.6cm) Win11, M365* Office24, Black, 2.44kg, ap0165AX, RGB, AI Gaming Laptop",HP,134990.0,Intel Core i5,24.0,DDR5,512.0,SSD,Rtx 5050,Windows 11,15.6,3840,2160,1,https://m.media-amazon.com/images/I/71P33TSPkVL._SL500_.jpg,,amazon
"HP Omen, Intel Core i7-14650HX 14th Gen, 8GB RTX 5050, 24GB DDR5(Upgradeable) 1TB SSD, 165Hz, 2k WUXGA, 3ms, 400 nits, 16''/40.6cm, Win11, M365* Office24, Black, 2.43kg, am0241TX, RGB Gaming Laptop",HP,143990.0,Intel Core I7-14650Hx,24.0,DDR5,512.0,SSD,Rtx 5050,Windows 11,15.6,2560,1600,1,https://m.media-amazon.com/images/I/710as3-Py1L._SL500_.jpg,,amazon
𝗛𝗣𝗣𝗿𝗼𝗯𝗼𝗼𝗸Model 430 G3 Business Laptop | InteI i5 6th Gen | 8GB RAM | 256GB SSD | WiFi | Webcam | Win10 Pro (Refab),𝗛𝗣𝗣𝗿𝗼𝗯𝗼𝗼𝗸model,20299.0,Intel Core i5,8.0,DDR4,256.0,SSD,Intel Iris Xe,Windows 10,15.6,1920,1080,1,https://m.media-amazon.com/images/I/61eW+bmIh+L._SL500_.jpg,,amazon
"Acer Aspire One, Intel Core Celeron N4500, Office 2024 + M365 Basic, 12GB LPDDR4X RAM/ 512GB SSD, 14.0""/35.56cm TN HD Display, Win 11 Home, Pure Silver, 1.3KG, A114-45, Thin and Light Laptop",Acer,38990.0,Intel Core i5,12.0,LPDDR4X,512.0,SSD,Intel Iris Xe,Windows 11,14.0,1366,768,1,https://m.media-amazon.com/images/I/71I0Oo7W2-L._SL500_.jpg,,amazon
"ASUS Chromebook CX1405 (2025), Intel Core 3-N355, 8GB RAM, 128GB SSD, FHD 14""(35.56cm), Chrome OS, Pure Grey, 1.38Kg, CX1405CTA-S60724, Intel UHD Graphics, 42WHrs, Thin & Light Laptop",ASUS,34490.0,Intel Core i5,8.0,DDR4,128.0,SSD,Intel Uhd Graphics,Windows 11,15.6,1920,1080,1,https://m.media-amazon.com/images/I/71LikKalsOL._SL500_.jpg,,amazon
